Customer Name,Sales
Sean Miller,25043.05
Tamara Chand,19052.218
Raymond Buch,15117.339
Tom Ashbrook,14595.62
Adrian Barton,14473.570999999998
Ken Lonsdale,14175.229000000001
Sanjit Chand,14142.333999999999
Hunter Lopez,12873.297999999999
Sanjit Engle,12209.438000000002
Christopher Conant,12129.072000000002
Todd Sumrall,11891.751
Greg Tran,11820.119999999999
Becky Martin,11789.63
Seth Vernon,11470.949999999999
Caroline Jumper,11164.974
Clay Ludtke,10880.546
Maria Etezadi,10663.728000000001
Karen Ferguson,10604.266
Bill Shonely,10501.653
Edward Hooks,10310.880000000001
